Date,PRECTOT,T2M,RH2M,WS2M,Location,District,Latitude,Longitude,Cloudburst,Year,Month,MonthName,Season,Rainfall_Intensity,Humidity_Rainfall,Heat_Index
1991-08-04,119.81,23.48,83.89,2.25,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,1,1991,8,Aug,Monsoon,,,
2011-10-27,0.0,15.02,62.1,1.54,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,2011,10,Oct,Autumn,,,
1994-08-04,9.03,25.04,81.65,1.88,Nainital (Nainital),Nainital,29.38,79.45,0,1994,8,Aug,Monsoon,,,
2005-05-30,0.13,12.87,35.37,2.95,Badrinath (Chamoli),Chamoli,30.74,79.49,0,2005,5,May,Spring,,,
2020-09-25,0.06,11.32,62.87,2.34,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,2020,9,Sep,Monsoon,,,
2019-07-25,30.18,23.35,88.47,3.08,Srinagar (Pauri Garhwal),Pauri Garhwal,30.22,78.77,0,2019,7,Jul,Monsoon,,,
1998-04-12,0.0,18.79,30.23,2.79,Champawat (Champawat),Champawat,29.34,80.09,0,1998,4,Apr,Spring,,,
2025-07-13,11.07,28.42,80.05,1.55,Haridwar (Haridwar),Haridwar,29.95,78.16,0,2025,7,Jul,Monsoon,,,
2024-07-18,3.48,22.53,90.01,2.73,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2024,7,Jul,Monsoon,,,
2013-06-25,162.88,21.64,94.45,2.29,Champawat (Champawat),Champawat,29.34,80.09,1,2013,6,Jun,Monsoon,,,
2018-12-22,0.0,0.86,15.36,1.65,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2018,12,Dec,Winter,,,
2011-06-26,18.94,13.22,94.89,2.55,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2011,6,Jun,Monsoon,,,
1999-09-08,1.56,12.71,74.48,2.43,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,0,1999,9,Sep,Monsoon,,,
2023-09-10,113.33,21.91,91.54,2.09,Almora (Almora),Almora,29.6,79.66,1,2023,9,Sep,Monsoon,,,
2022-06-02,0.0,5.78,51.55,2.74,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2022,6,Jun,Monsoon,,,
2022-10-09,126.75,17.97,91.67,3.17,Almora (Almora),Almora,29.6,79.66,1,2022,10,Oct,Autumn,,,
1997-01-13,0.0,8.91,29.21,1.89,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,1997,1,Jan,Winter,,,
2026-03-27,127.28,1.87,85.8,1.54,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,1,2026,3,Mar,Spring,,,
2022-09-23,101.2,10.93,87.32,1.82,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,1,2022,9,Sep,Monsoon,,,
2025-02-08,0.0,13.7,28.9,1.82,Srinagar (Pauri Garhwal),Pauri Garhwal,30.22,78.77,0,2025,2,Feb,Winter,,,
2021-01-17,0.0,2.39,27.0,1.53,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2021,1,Jan,Winter,,,
2012-09-12,15.68,12.17,90.79,2.59,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,1,2012,9,Sep,Monsoon,,,
2023-04-12,0.0,22.24,43.1,3.34,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,0,2023,4,Apr,Spring,,,
2013-06-18,3.43,10.79,88.6,3.07,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,1,2013,6,Jun,Monsoon,,,
2008-01-30,0.0,-8.32,77.64,2.1,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2008,1,Jan,Winter,,,
2008-09-20,122.74,18.07,94.69,4.72,Champawat (Champawat),Champawat,29.34,80.09,1,2008,9,Sep,Monsoon,,,
2010-08-18,58.36,17.43,95.03,1.82,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,1,2010,8,Aug,Monsoon,,,
2013-06-16,121.65,13.86,95.62,3.28,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,1,2013,6,Jun,Monsoon,,,
1992-05-02,0.08,13.81,35.16,3.4,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,1992,5,May,Spring,,,
2024-11-14,0.0,15.66,64.11,1.75,Srinagar (Pauri Garhwal),Pauri Garhwal,30.22,78.77,0,2024,11,Nov,Autumn,,,
2007-01-10,0.0,-2.89,28.68,1.74,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,0,2007,1,Jan,Winter,,,
2004-11-28,0.0,4.73,43.62,2.2,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,2004,11,Nov,Autumn,,,
2013-06-16,159.16,17.04,94.89,3.52,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,1,2013,6,Jun,Monsoon,,,
1991-10-08,0.0,8.25,49.03,1.97,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,1991,10,Oct,Autumn,,,
2019-08-18,56.52,14.98,94.34,2.76,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,1,2019,8,Aug,Monsoon,,,
1993-01-07,3.27,-5.4,93.24,3.78,Joshimath (Chamoli),Chamoli,30.55,79.57,0,1993,1,Jan,Winter,,,
1990-09-08,148.99,22.32,89.94,1.75,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,1,1990,9,Sep,Monsoon,,,
2003-05-05,0.0,-1.35,32.7,3.69,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2003,5,May,Spring,,,
2018-07-16,5.39,23.4,83.51,2.41,Champawat (Champawat),Champawat,29.34,80.09,0,2018,7,Jul,Monsoon,,,
2015-08-30,4.7,26.7,82.84,2.67,Haridwar (Haridwar),Haridwar,29.95,78.16,0,2015,8,Aug,Monsoon,,,
1999-12-13,0.0,2.02,18.23,1.74,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,1999,12,Dec,Winter,,,
2021-10-28,0.03,3.17,55.06,2.16,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2021,10,Oct,Autumn,,,
1991-08-04,119.81,23.48,83.89,2.25,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,1,1991,8,Aug,Monsoon,,,
2024-04-07,0.0,5.76,42.53,2.78,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2024,4,Apr,Spring,,,
1993-03-20,0.01,11.12,35.85,2.98,Mussoorie (Dehradun),Dehradun,30.45,78.07,0,1993,3,Mar,Spring,,,
2021-03-01,0.0,0.97,33.47,2.33,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2021,3,Mar,Spring,,,
2021-10-18,108.17,17.1,87.69,2.14,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,1,2021,10,Oct,Autumn,,,
2018-04-10,6.44,19.56,60.07,3.07,Mussoorie (Dehradun),Dehradun,30.45,78.07,0,2018,4,Apr,Spring,,,
1998-08-19,2.91,12.87,87.69,2.08,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,1,1998,8,Aug,Monsoon,,,
2020-06-12,0.09,13.34,73.83,2.8,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2020,6,Jun,Monsoon,,,
1991-07-18,8.95,19.66,78.17,3.01,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,0,1991,7,Jul,Monsoon,,,
2000-05-17,0.0,7.24,49.29,2.89,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2000,5,May,Spring,,,
2013-06-15,106.75,22.62,81.71,1.99,Mussoorie (Dehradun),Dehradun,30.45,78.07,1,2013,6,Jun,Monsoon,,,
1991-08-04,104.01,27.6,82.46,2.82,Haridwar (Haridwar),Haridwar,29.95,78.16,1,1991,8,Aug,Monsoon,,,
2021-07-20,33.72,17.72,92.26,1.94,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,1,2021,7,Jul,Monsoon,,,
2025-08-04,12.25,10.21,87.43,2.81,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,1,2025,8,Aug,Monsoon,,,
1992-09-18,0.09,8.82,71.94,2.08,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,1992,9,Sep,Monsoon,,,
2011-06-30,135.81,20.98,88.75,1.6,Champawat (Champawat),Champawat,29.34,80.09,1,2011,6,Jun,Monsoon,,,
2015-04-29,0.02,12.84,57.71,2.75,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,2015,4,Apr,Spring,,,
1991-09-19,0.0,20.59,73.62,2.09,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,1991,9,Sep,Monsoon,,,
1991-06-19,126.71,22.51,61.98,1.73,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,1,1991,6,Jun,Monsoon,,,
1990-12-29,2.08,6.86,73.44,3.59,Champawat (Champawat),Champawat,29.34,80.09,0,1990,12,Dec,Winter,,,
2024-07-19,10.3,22.6,87.86,2.68,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2024,7,Jul,Monsoon,,,
2011-01-23,0.0,-4.54,40.16,1.48,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2011,1,Jan,Winter,,,
2008-06-01,11.2,24.92,54.42,1.99,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,0,2008,6,Jun,Monsoon,,,
2022-09-23,101.2,10.93,87.32,1.82,Joshimath (Chamoli),Chamoli,30.55,79.57,1,2022,9,Sep,Monsoon,,,
2016-11-24,0.0,16.78,33.97,2.8,Nainital (Nainital),Nainital,29.38,79.45,0,2016,11,Nov,Autumn,,,
2008-11-12,0.0,16.07,70.2,1.51,Nainital (Nainital),Nainital,29.38,79.45,0,2008,11,Nov,Autumn,,,
2006-06-12,0.02,26.95,26.34,3.81,Mussoorie (Dehradun),Dehradun,30.45,78.07,0,2006,6,Jun,Monsoon,,,
2013-06-16,175.39,21.91,90.83,3.38,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,1,2013,6,Jun,Monsoon,,,
2020-04-21,377.84,1.83,92.89,2.27,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,1,2020,4,Apr,Spring,,,
2021-05-14,0.36,13.21,69.22,2.67,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,0,2021,5,May,Spring,,,
2004-06-18,105.57,23.43,85.09,1.71,Nainital (Nainital),Nainital,29.38,79.45,1,2004,6,Jun,Monsoon,,,
2010-01-19,0.0,11.43,32.12,2.68,Almora (Almora),Almora,29.6,79.66,0,2010,1,Jan,Winter,,,
1998-10-05,1.02,3.49,68.87,1.95,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,1998,10,Oct,Autumn,,,
1999-01-14,0.0,10.51,42.39,2.19,Almora (Almora),Almora,29.6,79.66,0,1999,1,Jan,Winter,,,
1990-03-08,0.0,7.08,46.94,2.72,Bageshwar (Bageshwar),Bageshwar,29.83,79.77,0,1990,3,Mar,Spring,,,
2022-09-23,121.11,16.92,86.98,1.62,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,1,2022,9,Sep,Monsoon,,,
2002-07-27,0.99,27.14,51.28,2.37,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,0,2002,7,Jul,Monsoon,,,
2013-06-16,175.39,21.91,90.83,3.38,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,1,2013,6,Jun,Monsoon,,,
2014-05-06,3.96,9.05,72.96,2.72,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2014,5,May,Spring,,,
2004-06-18,104.58,20.87,87.72,1.43,Champawat (Champawat),Champawat,29.34,80.09,1,2004,6,Jun,Monsoon,,,
2005-09-16,100.38,18.46,89.51,2.84,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2005,9,Sep,Monsoon,,,
2004-02-09,0.19,-0.89,65.71,2.4,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2004,2,Feb,Winter,,,
2017-08-04,12.5,24.35,86.56,2.39,Nainital (Nainital),Nainital,29.38,79.45,0,2017,8,Aug,Monsoon,,,
2004-03-16,0.0,22.37,30.4,3.57,Almora (Almora),Almora,29.6,79.66,0,2004,3,Mar,Spring,,,
2006-08-16,0.47,19.01,84.32,1.66,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2006,8,Aug,Monsoon,,,
2020-04-21,287.54,7.9,84.75,2.03,Bageshwar (Bageshwar),Bageshwar,29.83,79.77,1,2020,4,Apr,Spring,,,
1991-04-30,0.0,16.8,23.95,3.54,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,1991,4,Apr,Spring,,,
2024-07-17,6.37,23.25,87.62,2.46,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2024,7,Jul,Monsoon,,,
1998-07-03,17.59,19.06,86.78,1.92,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,0,1998,7,Jul,Monsoon,,,
2013-10-19,0.04,19.6,71.49,2.04,Nainital (Nainital),Nainital,29.38,79.45,0,2013,10,Oct,Autumn,,,
2009-04-16,0.02,7.82,49.76,3.12,Joshimath (Chamoli),Chamoli,30.55,79.57,0,2009,4,Apr,Spring,,,
1991-09-25,0.01,19.71,75.41,2.16,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,1991,9,Sep,Monsoon,,,
2010-09-19,68.23,20.67,88.74,1.87,Almora (Almora),Almora,29.6,79.66,1,2010,9,Sep,Monsoon,,,
2012-10-17,0.0,10.06,75.84,1.77,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,0,2012,10,Oct,Autumn,,,
2013-02-13,0.0,-2.3,79.96,2.08,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2013,2,Feb,Winter,,,
2020-02-23,246.15,3.07,85.22,1.72,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,1,2020,2,Feb,Winter,,,
2013-02-26,0.0,15.57,58.84,2.25,Nainital (Nainital),Nainital,29.38,79.45,0,2013,2,Feb,Winter,,,
